From	Entry	Protein names	Gene Names	Organism	Length
P07214	P07214	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	Sparc	Mus musculus (Mouse)	302
A0A0R4J0F5	A0A0R4J0F5	Cytokine receptor-like factor 2	Crlf2	Mus musculus (Mouse)	359
P06869	P06869	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	Plau	Mus musculus (Mouse)	433
P49769	P49769	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	Psen1 Ad3h Psnl1	Mus musculus (Mouse)	467
A0A087WRT4	A0A087WRT4	FAT atypical cadherin 1	Fat1	Mus musculus (Mouse)	4602
Q9Z0G9	Q9Z0G9	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2)	Cldn3 Cpetr2	Mus musculus (Mouse)	219
P15920	P15920	V-type proton ATPase 116 kDa subunit a 2 (V-ATPase 116 kDa subunit a 2) (Immune suppressor factor J6B7) (ISF) (Lysosomal H(+)-transporting ATPase V0 subunit a 2) (ShIF) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 2)	Atp6v0a2 Atp6n1b Tj6	Mus musculus (Mouse)	856
P70206	P70206	Plexin-A1 (Plex 1) (Plexin-1)	Plxna1 Kiaa4053	Mus musculus (Mouse)	1894
Q01102	Q01102	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)	Selp Grmp	Mus musculus (Mouse)	768
Q8CGF1	Q8CGF1	Rho GTPase-activating protein 29 (Rho-type GTPase-activating protein 29)	Arhgap29	Mus musculus (Mouse)	1266
Q8BGT1	Q8BGT1	Leucine-rich repeat transmembrane protein FLRT3 (Fibronectin leucine rich transmembrane protein 3)	Flrt3 Kiaa1469	Mus musculus (Mouse)	649
E9QB01	E9QB01	Neural cell adhesion molecule 1	Ncam1	Mus musculus (Mouse)	849
Q09143	Q09143	High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor) (Ecotropic retrovirus receptor) (ERR) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter)	Slc7a1 Atrc1 Rec-1	Mus musculus (Mouse)	622
Q6PFY1	Q6PFY1	F-BAR and double SH3 domains protein 1 (Protein nervous wreck 2) (NWK2)	Fchsd1	Mus musculus (Mouse)	688
E9QJS7	E9QJS7	Adhesion G protein-coupled receptor E5	Adgre5 Cd97	Mus musculus (Mouse)	818
Q3UW98	Q3UW98	Chloride channel accessory 4B (Chloride channel calcium activated 7) (Expressed sequence AI747448)	Clca4b AI747448 Clca7	Mus musculus (Mouse)	925
P98064-2	P98064	Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement factor MASP-3) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain]	Masp1 Crarf Masp3	Mus musculus (Mouse)	704
Q64695	Q64695	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Centrocyclin) (Centrosomal protein CCD41) (Endothelial cell protein C receptor) (CD antigen CD201)	Procr Epcr	Mus musculus (Mouse)	242
P15208	P15208	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	Insr	Mus musculus (Mouse)	1372
O35316	O35316	Sodium- and chloride-dependent taurine transporter (Solute carrier family 6 member 6)	Slc6a6 Taut	Mus musculus (Mouse)	621
P29533-2	P29533	Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (CD antigen CD106)	Vcam1 Vcam-1	Mus musculus (Mouse)	739
Q8R151	Q8R151	NFX1-type zinc finger-containing protein 1	Znfx1	Mus musculus (Mouse)	1909
P05533	P05533	Lymphocyte antigen 6A-2/6E-1 (Ly-6A.2/Ly-6E.1) (Stem cell antigen 1) (SCA-1) (T-cell-activating protein) (TAP)	Ly6a Ly6	Mus musculus (Mouse)	134
P53690	P53690	Matrix metalloproteinase-14 (MMP-14) (EC 3.4.24.80) (MMP-X1) (MT-MMP) (Membrane-type matrix metalloproteinase 1) (MT-MMP 1) (MTMMP1) (Membrane-type-1 matrix metalloproteinase) (MT1-MMP) (MT1MMP)	Mmp14 Mtmmp	Mus musculus (Mouse)	582
Q68FG2	Q68FG2	Spectrin beta chain	Sptbn2 Spnb3	Mus musculus (Mouse)	2388
Q62273	Q62273	Sulfate transporter (Diastrophic dysplasia protein homolog) (ST-OB) (Solute carrier family 26 member 2)	Slc26a2 Dtd Dtdst	Mus musculus (Mouse)	739
E9QM38	E9QM38	Solute carrier family 12 member 2	Slc12a2	Mus musculus (Mouse)	1206
Q99KG5	Q99KG5	Lipolysis-stimulated lipoprotein receptor (Angulin-3) (Lipolysis-stimulated receptor) (Liver-specific bHLH-Zip transcription factor) (Liver-specific gene on mouse chromosome 7 protein)	Lsr Ildr3 Lisch7	Mus musculus (Mouse)	594
Q99N48	Q99N48	Synaptotagmin-like protein 3 (Exophilin-6)	Sytl3 Slp3	Mus musculus (Mouse)	607
Q9CWR7	Q9CWR7	Metalloreductase STEAP1 (EC 1.16.1.-) (Six-transmembrane epithelial antigen of prostate 1)	Steap1 Steap	Mus musculus (Mouse)	339
Q9R1X5	Q9R1X5	ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP)	Abcc5 Abcc5a Mrp5	Mus musculus (Mouse)	1436
Q3TWI9	Q3TWI9	CSC1-like protein 2 (Transmembrane protein 63B)	Tmem63b	Mus musculus (Mouse)	832
Q8BT60	Q8BT60	Copine-3 (Copine III)	Cpne3 Kiaa0636	Mus musculus (Mouse)	533
P34914	P34914	Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)]	Ephx2 Eph2	Mus musculus (Mouse)	554
P06802	P06802	"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Lymphocyte antigen 41) (Ly-41) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Cleaved into: Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form] [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]"	Enpp1 Npps Pc1 Pdnp1	Mus musculus (Mouse)	906
Q8BFW6	Q8BFW6	Ectonucleoside triphosphate diphosphohydrolase 3 (NTPDase 3) (EC 3.6.1.5) (Ecto-ATP diphosphohydrolase 3) (Ecto-ATPDase 3) (Ecto-ATPase 3)	Entpd3	Mus musculus (Mouse)	529
P30558	P30558	Proteinase-activated receptor 1 (PAR-1) (Thrombin receptor)	F2r Cf2r Par1	Mus musculus (Mouse)	430
Q61147	Q61147	Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)	Cp	Mus musculus (Mouse)	1061
E9Q3Q6	E9Q3Q6	CD166 antigen (Activated leukocyte cell adhesion molecule)	Alcam	Mus musculus (Mouse)	570
Q9EQ09	Q9EQ09	"Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]"	Olr1 Lox1	Mus musculus (Mouse)	363
Q9EPT5	Q9EPT5	Solute carrier organic anion transporter family member 2A1 (Prostaglandin transporter) (PGT) (Solute carrier family 21 member 2)	Slco2a1 Oatp2a1 Slc21a2	Mus musculus (Mouse)	643
Q9Z0U0	Q9Z0U0	Xenotropic and polytropic retrovirus receptor 1 (Protein SYG1 homolog) (Rmc-1)	Xpr1 Syg1	Mus musculus (Mouse)	695
Q8BGK6	Q8BGK6	Y+L amino acid transporter 2 (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)	Slc7a6 Kiaa0245	Mus musculus (Mouse)	515
Q62469	Q62469	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	Itga2	Mus musculus (Mouse)	1178
A0A140LIH4	A0A140LIH4	Adhesion G-protein-coupled receptor G6	Adgrg6	Mus musculus (Mouse)	1193
Q7TMS5	Q7TMS5	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein 1 homolog) (Urate exporter) (CD antigen CD338)	Abcg2 Abcp Bcrp1	Mus musculus (Mouse)	657
Q60961	Q60961	Lysosomal-associated transmembrane protein 4A (Golgi 4-transmembrane-spanning transporter) (Mouse transporter protein) (MTP)	Laptm4a Mtrp	Mus musculus (Mouse)	233
Q62351	Q62351	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (CD antigen CD71)	Tfrc Trfr	Mus musculus (Mouse)	763
Q3UR85-3	Q3UR85	"Myelin regulatory factor (EC 3.4.-.-) (Myelin gene regulatory factor) [Cleaved into: Myelin regulatory factor, N-terminal; Myelin regulatory factor, C-terminal]"	Myrf Gm1804 Gm98 Mrf	Mus musculus (Mouse)	1138
Q80UP5	Q80UP5	Ankyrin repeat domain-containing protein 13A	Ankrd13a Ankrd13	Mus musculus (Mouse)	588
P97300	P97300	Neuroplastin (Stromal cell-derived receptor 1) (SDR-1)	Nptn Sdfr1 Sdr1	Mus musculus (Mouse)	397
O55026	O55026	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.-) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)	Entpd2 Cd39l1	Mus musculus (Mouse)	495
F6RG10	F6RG10	Myelin protein zero-like protein 2	Mpzl2 Eva1	Mus musculus (Mouse)	215
Q924X6	Q924X6	Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2)	Lrp8 Apoer2	Mus musculus (Mouse)	996
Q5FWI3	Q5FWI3	Cell surface hyaluronidase (EC 3.2.1.35) (Cell migration-inducing hyaluronidase 2) (Transmembrane protein 2)	Cemip2 Kiaa1412 Tmem2	Mus musculus (Mouse)	1383
Q9Z123	Q9Z123	Semaphorin-4F (Semaphorin-W) (Sema W)	Sema4f Semaw	Mus musculus (Mouse)	777
Q8C129	Q8C129	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Oxytocinase) (OTase)	Lnpep	Mus musculus (Mouse)	1025
P97326	P97326	Cadherin-6 (Kidney cadherin) (K-cadherin)	Cdh6	Mus musculus (Mouse)	790
Q9ER62	Q9ER62	Tumor necrosis factor receptor superfamily member 22 (Decoy TRAIL receptor 2) (TNF receptor family member SOBa) (TNF receptor homolog 2) (Tumor necrosis factor receptor p60 homolog 2)	Tnfrsf22 Dctrailr2 Tnfrh2 Tnfrsf1al2	Mus musculus (Mouse)	198
B2RU80	B2RU80	Receptor-type tyrosine-protein phosphatase beta (Protein-tyrosine phosphatase beta) (R-PTP-beta) (EC 3.1.3.48) (Vascular endothelial protein tyrosine phosphatase) (VE-PTP)	Ptprb	Mus musculus (Mouse)	1998
P20352	P20352	Tissue factor (TF) (Coagulation factor III) (CD antigen CD142)	F3 Cf-3 Cf3	Mus musculus (Mouse)	294
Q3TCN2	Q3TCN2	Putative phospholipase B-like 2 (EC 3.1.1.-) (66.3 kDa protein) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 28 kDa form; Putative phospholipase B-like 2 40 kDa form; Putative phospholipase B-like 2 15 kDa form]	Plbd2	Mus musculus (Mouse)	594
A0A0A0MQF2	A0A0A0MQF2	Anoctamin	Ano1	Mus musculus (Mouse)	1017
Q8R143	Q8R143	Pituitary tumor-transforming gene 1 protein-interacting protein (Pituitary tumor-transforming gene protein-binding factor) (PBF) (PTTG-binding factor)	Pttg1ip	Mus musculus (Mouse)	174
