Entry	Add	Entry name	Status	Protein names	Gene names	Organism	Length
Q8BRK8	1	AAPK2_MOUSE	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	Prkaa2	Mus musculus (Mouse)	552
O88737	1	BSN_MOUSE	reviewed	Protein bassoon	Bsn Kiaa0434	Mus musculus (Mouse)	3942
Q9DCD0	1	6PGD_MOUSE	reviewed	"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"	Pgd	Mus musculus (Mouse)	483
Q9Z1S0	1	BUB1B_MOUSE	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (BubR1) (Mitotic checkpoint kinase MAD3L)	Bub1b Mad3l	Mus musculus (Mouse)	1052
Q6PD03	1	2A5A_MOUSE	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)	Ppp2r5a	Mus musculus (Mouse)	486
Q9CQ60	1	6PGL_MOUSE	reviewed	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	Pgls	Mus musculus (Mouse)	257
Q9CQV8	1	1433B_MOUSE	reviewed	"14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]"	Ywhab	Mus musculus (Mouse)	246
O55102	1	BL1S1_MOUSE	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1) (GCN5-like protein 1)	Bloc1s1 Gcn5l1	Mus musculus (Mouse)	125
P62259	1	1433E_MOUSE	reviewed	14-3-3 protein epsilon (14-3-3E)	Ywhae	Mus musculus (Mouse)	255
Q8R0P4	1	AAMDC_MOUSE	reviewed	Mth938 domain-containing protein (LI2)	Aamdc	Mus musculus (Mouse)	122
O55137	1	ACOT1_MOUSE	reviewed	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)	Acot1 Cte1	Mus musculus (Mouse)	419
Q9WTZ9	1	BEX3_MOUSE	reviewed	Protein BEX3 (Brain-expressed X-linked protein 3 homolog) (Nerve growth factor receptor-associated protein 1) (p75NTR-associated cell death executor)	Bex3 Nade Ngfrap1	Mus musculus (Mouse)	124
Q8R5C5	1	ACTY_MOUSE	reviewed	Beta-centractin (Actin-related protein 1B) (ARP1B)	Actr1b	Mus musculus (Mouse)	376
Q8CJG1	1	AGO1_MOUSE	reviewed	Protein argonaute-1 (Argonaute1) (mAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Piwi/argonaute family protein meIF2C1)	Ago1 Eif2c1	Mus musculus (Mouse)	857
Q8BGS2	1	BOLA2_MOUSE	reviewed	BolA-like protein 2	Bola2	Mus musculus (Mouse)	86
P97504	1	BMX_MOUSE	reviewed	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein homolog)	Bmx	Mus musculus (Mouse)	651
P30561	1	AHR_MOUSE	reviewed	Aryl hydrocarbon receptor (Ah receptor) (AhR)	Ahr	Mus musculus (Mouse)	848
Q8R3W7	1	AGR3_MOUSE	reviewed	Anterior gradient protein 3	Agr3	Mus musculus (Mouse)	165
P62737	1	ACTA_MOUSE	reviewed	"Actin, aortic smooth muscle (Alpha-actin-2) [Cleaved into: Actin, aortic smooth muscle, intermediate form]"	Acta2 Actsa Actvs	Mus musculus (Mouse)	377
Q9QYP6	1	AZI2_MOUSE	reviewed	5-azacytidine-induced protein 2 (NF-kappa-B-activating kinase-associated protein 1) (Nak-associated protein 1) (Nap1)	Azi2 Az2 Nap1 Tbkp2	Mus musculus (Mouse)	405
Q6PB60	1	BHLH9_MOUSE	reviewed	Protein BHLHb9 (bHLHb9)	Bhlhb9 Kiaa1701	Mus musculus (Mouse)	539
G3X9K3	1	BIG1_MOUSE	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (BIG1) (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1)	Arfgef1	Mus musculus (Mouse)	1846
P60710	1	ACTB_MOUSE	reviewed	"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]"	Actb	Mus musculus (Mouse)	375
Q8K4E0	1	ALMS1_MOUSE	reviewed	Alstrom syndrome protein 1 homolog	Alms1 Kiaa0328	Mus musculus (Mouse)	3251
Q8K1E6	1	ALKB3_MOUSE	reviewed	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.33) (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (mAbh3)	Alkbh3 Abh3	Mus musculus (Mouse)	286
Q9Z0E3	1	AIRE_MOUSE	reviewed	Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein homolog) (APECED protein homolog)	Aire	Mus musculus (Mouse)	552
Q91WR5	1	AK1CL_MOUSE	reviewed	Aldo-keto reductase family 1 member C21 (EC 1.1.1.-) (17-alpha-hydroxysteroid dehydrogenase) (17-alpha-HSD) (3(or 17)-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.209) (3-alpha-hydroxysteroid dehydrogenase) (Dihydrodiol dehydrogenase type 1) (DD1) (Dihydrodiol dehydrogenase type 3) (DD3)	Akr1c21	Mus musculus (Mouse)	323
Q8VDP4	1	CCAR2_MOUSE	reviewed	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2)	Ccar2	Mus musculus (Mouse)	922
Q3V2J0	1	CBAR2_MOUSE	reviewed	CBY1-interacting BAR domain-containing protein 2 (Protein FAM92B)	Cibar2 Fam92b	Mus musculus (Mouse)	292
Q8C633	1	CABS1_MOUSE	reviewed	Calcium-binding and spermatid-specific protein 1	Cabs1	Mus musculus (Mouse)	391
Q6GQT0	1	CC14A_MOUSE	reviewed	Dual specificity protein phosphatase CDC14A (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog A)	Cdc14a	Mus musculus (Mouse)	603
Q6PHN1	1	CCD57_MOUSE	reviewed	Coiled-coil domain-containing protein 57	Ccdc57	Mus musculus (Mouse)	1016
P84084	1	ARF5_MOUSE	reviewed	ADP-ribosylation factor 5	Arf5	Mus musculus (Mouse)	180
Q3UPH7	1	ARH40_MOUSE	reviewed	Rho guanine nucleotide exchange factor 40 (Protein SOLO)	Arhgef40 Solo	Mus musculus (Mouse)	1517
O54754	1	AOXA_MOUSE	reviewed	Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-) (Retinal oxidase)	Aox1 Ao Ro	Mus musculus (Mouse)	1333
Q99M54	1	CDCA3_MOUSE	reviewed	Cell division cycle-associated protein 3 (Gene-rich cluster protein C8) (Trigger of mitotic entry protein 1) (TOME-1)	Cdca3 C8 Grcc8 Tome1	Mus musculus (Mouse)	266
Q9Z2A5	1	ATE1_MOUSE	reviewed	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	Ate1	Mus musculus (Mouse)	516
Q9EPB4	1	ASC_MOUSE	reviewed	Apoptosis-associated speck-like protein containing a CARD (mASC) (PYD and CARD domain-containing protein)	Pycard Asc	Mus musculus (Mouse)	193
A2AGT5	1	CKAP5_MOUSE	reviewed	Cytoskeleton-associated protein 5	Ckap5	Mus musculus (Mouse)	2032
A0A087WPF7	1	AUTS2_MOUSE	reviewed	Autism susceptibility gene 2 protein homolog	Auts2 Kiaa0442	Mus musculus (Mouse)	1261
P54254	1	ATX1_MOUSE	reviewed	Ataxin-1 (Spinocerebellar ataxia type 1 protein homolog)	Atxn1 Sca1	Mus musculus (Mouse)	791
Q9Z2L7	1	CRLF3_MOUSE	reviewed	Cytokine receptor-like factor 3 (Cytokine receptor-like molecule 9) (CREME-9) (Cytokine receptor-related factor 4)	Crlf3 Creme9 Cytor4	Mus musculus (Mouse)	442
Q65CL1	1	CTNA3_MOUSE	reviewed	Catenin alpha-3 (Alpha T-catenin) (Cadherin-associated protein)	Ctnna3 Catna3	Mus musculus (Mouse)	895
P81270	1	ERG_MOUSE	reviewed	Transcriptional regulator ERG	Erg Erg-3	Mus musculus (Mouse)	486
Q99LD4	1	CSN1_MOUSE	reviewed	COP9 signalosome complex subunit 1 (SGN1) (Signalosome subunit 1) (G protein pathway suppressor 1) (GPS-1) (JAB1-containing signalosome subunit 1)	Gps1 Cops1 Csn1	Mus musculus (Mouse)	471
P60840	1	ENSA_MOUSE	reviewed	Alpha-endosulfine (ARPP-19e)	Ensa	Mus musculus (Mouse)	121
Q7TMF2	1	ERI1_MOUSE	reviewed	3'-5' exoribonuclease 1 (EC 3.1.-.-) (3'-5' exonuclease ERI1) (Eri-1 homolog) (Histone mRNA 3'-exonuclease 1)	Eri1 3'exo Thex1	Mus musculus (Mouse)	345
P61406	1	EST1A_MOUSE	reviewed	Telomerase-binding protein EST1A (EC 3.1.-.-) (Ever shorter telomeres 1A) (Nonsense mediated mRNA decay factor SMG6) (Smg-6 homolog)	Smg6 Est1a Kiaa0732	Mus musculus (Mouse)	1418
Q8VCT4	1	EST1D_MOUSE	reviewed	Carboxylesterase 1D (Carboxylesterase 3) (EC 3.1.1.1) (EC 3.1.1.67) (Fatty acid ethyl ester synthase) (FAEE synthase) (Triacylglycerol hydrolase) (TGH)	Ces1d Ces1 Ces3	Mus musculus (Mouse)	565
O88544	1	CSN4_MOUSE	reviewed	COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)	Cops4 Csn4	Mus musculus (Mouse)	406
O35864	1	CSN5_MOUSE	reviewed	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1) (Kip1 C-terminus-interacting protein 2)	Cops5 Csn5 Jab1 Kic2	Mus musculus (Mouse)	334
Q8VCC2	1	EST1_MOUSE	reviewed	Liver carboxylesterase 1 (EC 3.1.1.1) (Acyl-coenzyme A:cholesterol acyltransferase) (Carboxylesterase 1G) (Cholesteryl ester hydrolase) (CEH) (EC 3.1.1.13) (ES-x)	Ces1 Ces1g	Mus musculus (Mouse)	565
Q9R0P3	1	ESTD_MOUSE	reviewed	S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase 10) (Esterase D) (Sid 478)	Esd Es10 Sid478	Mus musculus (Mouse)	282
B2RWS6	1	EP300_MOUSE	reviewed	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	Ep300 P300	Mus musculus (Mouse)	2412
Q5XFR0	1	EPAB2_MOUSE	reviewed	Embryonic polyadenylate-binding protein 2 (Embryonic poly(A)-binding protein 2) (ePABP-2) (ePABP2) (Embryonic poly(A)-binding protein type II) (Poly(A)-binding protein nuclear-like 1)	Pabpn1l Epabp2 Gm1108 Pabpnl1	Mus musculus (Mouse)	273
P48193	1	EPB41_MOUSE	reviewed	Protein 4.1 (P4.1) (4.1R) (Band 4.1) (Erythrocyte membrane protein band 4.1)	Epb41 Epb4.1 Kiaa4056	Mus musculus (Mouse)	858
Q8C9X6	1	EPC1_MOUSE	reviewed	Enhancer of polycomb homolog 1	Epc1	Mus musculus (Mouse)	813
Q80TA9	1	EPG5_MOUSE	reviewed	Ectopic P granules protein 5 homolog	Epg5 Kiaa1632	Mus musculus (Mouse)	2572
Q8BGZ3	1	DCA12_MOUSE	reviewed	DDB1- and CUL4-associated factor 12 (WD repeat-containing protein 40A)	Dcaf12 Kiaa1892 Wdr40a	Mus musculus (Mouse)	453
P61963	1	DCAF7_MOUSE	reviewed	DDB1- and CUL4-associated factor 7 (WD repeat-containing protein 68) (WD repeat-containing protein An11 homolog)	Dcaf7 Han11 Wdr68	Mus musculus (Mouse)	342
Q7TQF2	1	FBX10_MOUSE	reviewed	F-box only protein 10	Fbxo10 Gm634	Mus musculus (Mouse)	950
P51908	1	ABEC1_MOUSE	reviewed	C->U-editing enzyme APOBEC-1 (EC 3.5.4.36) (Apolipoprotein B mRNA-editing enzyme 1) (mRNA(cytosine(6666)) deaminase 1)	Apobec1	Mus musculus (Mouse)	229
Q91V92	1	ACLY_MOUSE	reviewed	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)	Acly	Mus musculus (Mouse)	1091
Q91YE9	1	5NT1B_MOUSE	reviewed	Cytosolic 5'-nucleotidase 1B (cN1B) (EC 3.1.3.5) (Autoimmune infertility-related protein) (Cytosolic 5'-nucleotidase IB) (cN-IB)	Nt5c1b Airp	Mus musculus (Mouse)	573
Q6PD28	1	2A5B_MOUSE	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)	Ppp2r5b	Mus musculus (Mouse)	497
A2AWP0	1	BIRC7_MOUSE	reviewed	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Livin) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30 kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Birc7 Livin	Mus musculus (Mouse)	285
Q8CBX9	1	BIVM_MOUSE	reviewed	Basic immunoglobulin-like variable motif-containing protein	Bivm	Mus musculus (Mouse)	502
O70479	1	BACD2_MOUSE	reviewed	"BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 (BTB/POZ domain-containing protein TNFAIP1) (Tumor necrosis factor, alpha-induced protein 1, endothelial)"	Tnfaip1 Edp1	Mus musculus (Mouse)	316
Q9CY21	1	BUD23_MOUSE	reviewed	Probable 18S rRNA (guanine-N(7))-methyltransferase (EC 2.1.1.-) (Bud site selection protein 23 homolog) (Williams-Beuren syndrome chromosomal region 22 protein homolog) (rRNA methyltransferase and ribosome maturation factor)	Bud23 Wbscr22	Mus musculus (Mouse)	281
Q99MP8	1	BRAP_MOUSE	reviewed	BRCA1-associated protein (EC 2.3.2.27) (BRAP2) (Impedes mitogenic signal propagation) (IMP) (RING-type E3 ubiquitin transferase BRAP2)	Brap	Mus musculus (Mouse)	591
P97303	1	BACH2_MOUSE	reviewed	Transcription regulator protein BACH2 (BTB and CNC homolog 2)	Bach2	Mus musculus (Mouse)	839
Q8C3R1	1	BRAT1_MOUSE	reviewed	BRCA1-associated ATM activator 1 (BRCA1-associated protein required for ATM activation protein 1)	Brat1 Baat1	Mus musculus (Mouse)	822
P61982	1	1433G_MOUSE	reviewed	"14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]"	Ywhag	Mus musculus (Mouse)	247
P58545	1	BTBD3_MOUSE	reviewed	BTB/POZ domain-containing protein 3	Btbd3	Mus musculus (Mouse)	530
Q3THG9	1	AASD1_MOUSE	reviewed	Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA deacylase alaX) (AlaX) (AlaXp-II) (Alanyl-tRNA synthetase domain-containing protein 1)	Aarsd1 Alax	Mus musculus (Mouse)	412
P55194	1	3BP1_MOUSE	reviewed	SH3 domain-binding protein 1 (3BP-1)	Sh3bp1 3bp1	Mus musculus (Mouse)	680
Q3UMC0	1	AFG2H_MOUSE	reviewed	ATPase family protein 2 homolog (EC 3.6.4.10) (Spermatogenesis-associated factor protein) (Spermatogenesis-associated protein 5)	Spata5 Spaf	Mus musculus (Mouse)	893
Q64152	1	BTF3_MOUSE	reviewed	Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3)	Btf3	Mus musculus (Mouse)	204
Q3UD01	1	A7L3B_MOUSE	reviewed	Ataxin-7-like protein 3B	Atxn7l3b	Mus musculus (Mouse)	97
Q9DBR0	1	AKAP8_MOUSE	reviewed	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	Akap8 Akap95	Mus musculus (Mouse)	687
Q8BXF8	1	ACTT3_MOUSE	reviewed	Actin-related protein T3 (ARP-T3) (Actin-related protein M1)	Actrt3 Arpm1	Mus musculus (Mouse)	369
Q9Z0X1	1	AIFM1_MOUSE	reviewed	"Apoptosis-inducing factor 1, mitochondrial (EC 1.6.99.-) (Programmed cell death protein 8)"	Aifm1 Aif Pdcd8	Mus musculus (Mouse)	612
Q8CDP0	1	CBPC3_MOUSE	reviewed	Cytosolic carboxypeptidase 3 (EC 3.4.17.-) (ATP/GTP-binding protein-like 3) (Protein deglutamylase CCP3)	Agbl3 Ccp3	Mus musculus (Mouse)	1006
Q8C142	1	ARH_MOUSE	reviewed	Low density lipoprotein receptor adapter protein 1 (Autosomal recessive hypercholesterolemia protein homolog)	Ldlrap1 Arh	Mus musculus (Mouse)	308
Q9Z1K6	1	ARI2_MOUSE	reviewed	E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (RING-type E3 ubiquitin transferase ARIH2) (Triad1 protein) (UbcM4-interacting protein 48)	Arih2 Ari2 Triad1 Uip48	Mus musculus (Mouse)	492
Q62431	1	ARI3A_MOUSE	reviewed	AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1)	Arid3a Dri1 Dril1	Mus musculus (Mouse)	601
Q3TZA2	1	CDKL4_MOUSE	reviewed	Cyclin-dependent kinase-like 4 (EC 2.7.11.22)	Cdkl4 Gm942	Mus musculus (Mouse)	342
Q922H1	1	ANM3_MOUSE	reviewed	Protein arginine N-methyltransferase 3 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)	Prmt3 Hrmt1l3	Mus musculus (Mouse)	528
Q8BHE3	1	ATCAY_MOUSE	reviewed	Caytaxin	Atcay	Mus musculus (Mouse)	372
P50295	1	ARY2_MOUSE	reviewed	Arylamine N-acetyltransferase 2 (EC 2.3.1.5) (Arylamide acetylase 2) (N-acetyltransferase type 2) (NAT-2)	Nat2 Aac2	Mus musculus (Mouse)	290
P28659	1	CELF1_MOUSE	reviewed	CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Brain protein F41) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Deadenylation factor EDEN-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2)	Celf1 Brunol2 Cugbp Cugbp1	Mus musculus (Mouse)	486
P11440	1	CDK1_MOUSE	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Cdk1 Cdc2 Cdc2a Cdkn1	Mus musculus (Mouse)	297
Q9Z0H4	1	CELF2_MOUSE	reviewed	CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (mETR-3) (Neuroblastoma apoptosis-related RNA-binding protein) (mNapor) (RNA-binding protein BRUNOL-3)	Celf2 Cugbp2 Napor	Mus musculus (Mouse)	508
Q9JHU3	1	CDK20_MOUSE	reviewed	Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (CDK-related protein kinase PNQLARE) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)	Cdk20 Ccrk Cdch	Mus musculus (Mouse)	346
P41209	1	CETN1_MOUSE	reviewed	Centrin-1 (Caltractin)	Cetn1 Calt	Mus musculus (Mouse)	172
Q8CIN6	1	CELF3_MOUSE	reviewed	CUGBP Elav-like family member 3 (CELF-3) (Bruno-like protein 1) (CUG-BP- and ETR-3-like factor 3) (ELAV-type RNA-binding protein 1) (ETR-1) (RNA-binding protein BRUNOL-1) (Trinucleotide repeat-containing gene 4 protein)	Celf3 Tnrc4	Mus musculus (Mouse)	465
Q8C6E0	1	CFA36_MOUSE	reviewed	Cilia- and flagella-associated protein 36 (Coiled-coil domain-containing protein 104)	Cfap36 Ccdc104	Mus musculus (Mouse)	343
B2RW38	1	CFA58_MOUSE	reviewed	Cilia- and flagella-associated protein 58	Cfap58	Mus musculus (Mouse)	873
Q91ZT7	1	ASB10_MOUSE	reviewed	Ankyrin repeat and SOCS box protein 10 (ASB-10)	Asb10	Mus musculus (Mouse)	467
Q9D864	1	ARP6_MOUSE	reviewed	Actin-related protein 6 (mArp6)	Actr6	Mus musculus (Mouse)	396
Q9QUK0	1	CDKL2_MOUSE	reviewed	Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Serine/threonine-protein kinase KKIAMRE)	Cdkl2 Kkiamre Kkm	Mus musculus (Mouse)	568
Q6IRU7	1	CEP78_MOUSE	reviewed	Centrosomal protein of 78 kDa (Cep78)	Cep78	Mus musculus (Mouse)	790
Q0VEJ0	1	CEP76_MOUSE	reviewed	Centrosomal protein of 76 kDa (Cep76)	Cep76	Mus musculus (Mouse)	659
Q8BJF9	1	CHM2B_MOUSE	reviewed	Charged multivesicular body protein 2b (Chromatin-modifying protein 2b) (CHMP2b)	Chmp2b	Mus musculus (Mouse)	213
Q4VAA2	1	CDV3_MOUSE	reviewed	Protein CDV3 (Carnitine deficiency-associated protein 3) (Tyrosine-phosphorylated protein 36) (TPP36)	Cdv3	Mus musculus (Mouse)	281
O54804	1	CHKA_MOUSE	reviewed	Choline kinase alpha (CK) (EC 2.7.1.32) (CHETK-alpha) (Ethanolamine kinase) (EK) (EC 2.7.1.82)	Chka Chk	Mus musculus (Mouse)	453
O35492	1	CLK3_MOUSE	reviewed	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	Clk3	Mus musculus (Mouse)	638
Q99LM2	1	CK5P3_MOUSE	reviewed	CDK5 regulatory subunit-associated protein 3	Cdk5rap3	Mus musculus (Mouse)	503
Q8BH44	1	COR2B_MOUSE	reviewed	Coronin-2B	Coro2b	Mus musculus (Mouse)	480
Q61211	1	EIF2D_MOUSE	reviewed	Eukaryotic translation initiation factor 2D (eIF2D) (Ligatin)	Eif2d Lgtn	Mus musculus (Mouse)	570
P23116	1	EIF3A_MOUSE	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Centrosomin) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185) (p162)	Eif3a Csma Eif3 Eif3s10	Mus musculus (Mouse)	1344
Q9Z1D1	1	EIF3G_MOUSE	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	Eif3g Eif3p42 Eif3s4	Mus musculus (Mouse)	320
Q91WK2	1	EIF3H_MOUSE	reviewed	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	Eif3h Eif3s3	Mus musculus (Mouse)	352
Q8JZQ9	1	EIF3B_MOUSE	reviewed	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (eIF-3-eta) (eIF3 p116)	Eif3b Eif3s9	Mus musculus (Mouse)	803
Q91YP6	1	ELMD3_MOUSE	reviewed	ELMO domain-containing protein 3 (RNA-binding motif and ELMO domain-containing protein 1)	Elmod3 Rbed1	Mus musculus (Mouse)	381
Q8BL65	1	ABLM2_MOUSE	reviewed	Actin-binding LIM protein 2 (abLIM-2) (Actin-binding LIM protein family member 2)	Ablim2	Mus musculus (Mouse)	612
P63268	1	ACTH_MOUSE	reviewed	"Actin, gamma-enteric smooth muscle (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]"	Actg2 Acta3 Actsg	Mus musculus (Mouse)	376
Q62148	1	AL1A2_MOUSE	reviewed	Retinal dehydrogenase 2 (RALDH 2) (RalDH2) (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A2) (Retinaldehyde-specific dehydrogenase type 2) (RALDH(II))	Aldh1a2 Aldh1a7 Raldh2	Mus musculus (Mouse)	518
